2022-06-19 07:30:36.754768 :: target_cam_pos: (110, 30), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.776326 :: target_cam_pos: (112, 38), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.791753 :: target_cam_pos: (113, 41), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.827093 :: target_cam_pos: (114, 55), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.854753 :: target_cam_pos: (116, 68), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.885777 :: target_cam_pos: (118, 80), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.923922 :: target_cam_pos: (120, 93), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.951631 :: target_cam_pos: (121, 106), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:36.984557 :: target_cam_pos: (123, 118), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:37.018604 :: target_cam_pos: (124, 130), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:37.058803 :: target_cam_pos: (126, 145), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:37.071263 :: target_cam_pos: (126, 145), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:37.095494 :: target_cam_pos: (127, 158), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:37.107572 :: target_cam_pos: (127, 158), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:30:37.132804 :: target_cam_pos: (128, 172), iha_gps_pos: LocationGlobalRelative:lat=-35.363645,lon=149.1651609,alt=598.99, target_gps_pos: (-35.363645, 149.1651609)
2022-06-19 07:39:33.141392 :: target_cam_pos: (184, 4), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.182140 :: target_cam_pos: (182, 9), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.210469 :: target_cam_pos: (180, 15), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.237795 :: target_cam_pos: (178, 21), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.272045 :: target_cam_pos: (176, 27), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.294468 :: target_cam_pos: (176, 27), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
